0000.wav;0
0001.wav;1
0002.wav;2
0003.wav;3
0004.wav;4
0005.wav;5
0006.wav;6
0007.wav;7
0008.wav;8
0009.wav;9
0010.wav;10
0011.wav;11
0012.wav;12
0013.wav;13
0014.wav;14
0015.wav;15
0016.wav;16
0017.wav;17
0018.wav;18
0019.wav;19
0020.wav;20
0021.wav;21
0022.wav;22
0023.wav;23
0024.wav;24
0025.wav;25
0026.wav;26
0027.wav;27
0028.wav;28
0029.wav;29
0030.wav;30
0031.wav;31
0032.wav;32
0033.wav;33
0034.wav;34
0035.wav;35
0036.wav;36
0037.wav;37
0038.wav;38
0039.wav;39
0040.wav;40
0041.wav;41
0042.wav;42
0043.wav;43
0044.wav;44
0045.wav;45
0046.wav;46
0047.wav;47
0048.wav;48
0049.wav;49
0050.wav;50
0051.wav;51
0052.wav;52
0053.wav;53
0054.wav;54
0055.wav;55
0056.wav;56
0057.wav;57
0058.wav;58
0059.wav;59
0060.wav;60
0061.wav;61
0062.wav;62
0063.wav;63
0064.wav;64
0065.wav;65
0066.wav;66
0067.wav;67
0068.wav;68
0069.wav;69
0070.wav;70
0071.wav;71
0072.wav;72
0073.wav;73
0074.wav;74
0075.wav;75
0076.wav;76
0077.wav;77
0078.wav;78
0079.wav;79
0080.wav;80
0081.wav;81
0082.wav;82
0083.wav;83
0084.wav;84
0085.wav;85
0086.wav;86
0087.wav;87
0088.wav;88
0089.wav;89
0090.wav;90
0091.wav;91
0092.wav;92
0093.wav;93
0094.wav;94
0095.wav;95
0096.wav;96
0097.wav;97
0098.wav;98
0099.wav;99
0100.wav;100
0101.wav;200
0102.wav;300
0103.wav;400
0104.wav;500
0105.wav;600
0106.wav;700
0107.wav;800
0108.wav;900
0109.wav;thousand
0110.wav;and
0111.wav;minus
0112.wav;point
0115.wav;volt
0116.wav;volts
0117.wav;amp
0118.wav;amps
0119.wav;meter per second
0120.wav;meters per second
0121.wav;
0122.wav;
0123.wav;kilometer per hour
0124.wav;kilometers per hour
0125.wav;meter
0126.wav;meters
0127.wav;degree
0128.wav;degrees
0129.wav;percent
0130.wav;percent
0131.wav;milliamp
0132.wav;milliamps
0133.wav;milliamp-hour
0134.wav;milliamp-hours
0135.wav;watt
0136.wav;watts
0137.wav;db
0138.wav;db
0139.wav;foot
0140.wav;feet
0141.wav;knot
0142.wav;knots
0143.wav;hour
0144.wav;hours
0145.wav;minute
0146.wav;minutes
0147.wav;second
0148.wav;seconds
0149.wav;r p m
0150.wav;r p m
0151.wav;g
0152.wav;g
0160.wav;point zero
0161.wav;point one
0162.wav;point two
0163.wav;point three
0164.wav;point four
0165.wav;point five
0166.wav;point six
0167.wav;point seven
0168.wav;point eight
0169.wav;point nine
0244.wav;trim center
0231.wav;transmitter battery low
0230.wav;inactivity alarm
0232.wav;throttle warning
0233.wav;switch warning
0245.wav;Welcome to open nine ex!
0250.wav;tick. tock
0251.wav;ten. seconds
0252.wav;twenty. seconds
0253.wav;thirty. seconds
0256.wav;gear!, up!
0257.wav;gear!, down!
0258.wav;flaps!, up!
0259.wav;flaps!, down!
0260.wav;trainer!, on!
0261.wav;trainer!, off!
0262.wav;engine!, off!
0263.wav;too. high!
0264.wav;too. low!
0265.wav;low. battery!
0266.wav;crow!, on!
0267.wav;crow!, off!
0268.wav;rf. signal!, low!
0269.wav;rf. signal!, critical!
0270.wav;high. speed. mode!, active
0271.wav;thermal. mode!, on
0272.wav;normal. mode!, on
0273.wav;landing. mode!, on
0274.wav;acro. mode!, on
0275.wav;flight. mode!, one
0276.wav;flight. mode!, two
0277.wav;flight. mode!, three
0278.wav;flight. mode!, four
0279.wav;flight. mode!, five
0280.wav;flight. mode!, six
0281.wav;flight. mode!, seven
0282.wav;flight. mode!, eight
0283.wav;flight. mode!, nine
0284.wav;vario!, on
0285.wav;vario!, off
